Run_ID;CSV_Origem;Trajectory_ID;VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
7;vehicles_step_sim_7.csv;vehicles_step_sim_7__run007__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1847;0,0001;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7706;-73,9513;40,7666;-73,9541;0,0041;-0,0051;0,0094;2,0000
8;vehicles_step_sim_7.csv;vehicles_step_sim_7__run008__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1845;-0,0001;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7787;-73,9516;40,7747;-73,9544;-0,0024;0,0030;0,0091;2,0000
9;vehicles_step_sim_7.csv;vehicles_step_sim_7__run009__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1845;-0,0001;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7785;-73,9486;40,7745;-73,9514;-0,0023;0,0028;0,0121;2,0000
10;vehicles_step_sim_7.csv;vehicles_step_sim_7__run010__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1848;0,0002;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7659;-73,9737;40,7619;-73,9765;0,0078;-0,0097;-0,0130;2,0000
11;vehicles_step_sim_7.csv;vehicles_step_sim_7__run011__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1841;-0,0004;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7909;-73,9668;40,7869;-73,9696;-0,0122;0,0153;-0,0061;2,0000
12;vehicles_step_sim_7.csv;vehicles_step_sim_7__run012__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1842;-0,0004;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7904;-73,9659;40,7864;-73,9688;-0,0119;0,0148;-0,0052;2,0000
13;vehicles_step_sim_7.csv;vehicles_step_sim_7__run013__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1849;0,0004;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7614;-73,9712;40,7574;-73,9740;0,0114;-0,0142;-0,0105;2,0000
14;vehicles_step_sim_7.csv;vehicles_step_sim_7__run014__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1842;-0,0003;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7868;-73,9672;40,7828;-73,9701;-0,0090;0,0112;-0,0065;2,0000
15;vehicles_step_sim_7.csv;vehicles_step_sim_7__run015__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1848;0,0003;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7657;-73,9618;40,7616;-73,9646;0,0080;-0,0100;-0,0011;2,0000
16;vehicles_step_sim_7.csv;vehicles_step_sim_7__run016__SUMO_carro_1000__t0001;SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;3,1899;312;312;0;0,0000;3,1845;3,1846;0,0000;False;0;0;40,7756;-73,9607;40,7716;-73,9635;40,7743;-73,9741;40,7703;-73,9769;0,0011;-0,0013;-0,0134;2,0000
