# StartTime = 01/19/2024 01:25:31.1282 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (km/h), Accel X (m/s²), Accel Y (m/s²), Accel Z (m/s²), Engine RPM (RPM), Mass air flow rate (g/s), Absolute throttle position (%), Fuel level input (%), GPS Speed (km/h), Fuel rate (l/hr), Alcohol fuel percentage (%), Engine fuel rate (l/hr), Vehicle Fuel Rate (g/s), Fuel Remaining (l), Fuel Level Input A (%), Fuel Level Input B (%), Instant fuel economy (l/100 km), Calculated load value (%), Fuel rail pressure (kPa), Fuel rail pressure relative to manifold vacuum (kPa), Accelerator pedal position D (%), Accelerator pedal position E (%)
23.266,-23.03032,-44.54567,7,0.009618489,-0.3984621,-0.8769016,938,4.77,21.17647,70.58823,3.949978,1.587422,32.15686,0,0,9.882353,0,0,22.67743,38.43137,0,0,20.78431,10.58823
23.274,-23.03032,-44.54567,7,0.01596103,-0.3421472,-0.8467035,938,4.77,21.17647,70.58823,3.949978,1.587422,32.15686,0,0,9.882353,0,0,22.67743,38.43137,0,0,20.78431,10.58823
23.275,-23.03032,-44.54567,7,0.01596103,-0.3421472,-0.8467035,938,4.77,21.17647,70.58823,3.949978,1.587422,32.15686,0,0,9.882353,0,0,22.67743,38.43137,0,0,20.78431,10.58823
23.281,-23.03032,-44.54567,7,0.04018236,-0.2454327,-0.765702,938,4.77,21.17647,70.58823,3.949978,1.587422,32.15686,0,0,9.882353,0,0,22.67743,38.43137,0,0,20.78431,10.58823
24.245,-23.03031,-44.54566,6,0.5947183,-0.217531,1.369076,831.5,4.19,20,70.58823,4.534579,1.394402,32.15686,0,0,9.882353,0,0,23.24001,35.29412,0,0,20.78431,10.58823
24.251,-23.03031,-44.54566,6,0.4580812,0.08220612,1.164153,831.5,4.19,20,70.58823,4.534579,1.394402,32.15686,0,0,9.882353,0,0,23.24001,35.29412,0,0,20.78431,10.58823
24.253,-23.03031,-44.54566,6,0.4580812,0.08220612,1.164153,831.5,4.19,20,70.58823,4.534579,1.394402,32.15686,0,0,9.882353,0,0,23.24001,35.29412,0,0,20.78431,10.58823
24.258,-23.03031,-44.54566,6,0.3760403,0.2054672,0.9922208,831.5,4.19,20,70.58823,4.534579,1.394402,32.15686,0,0,9.882353,0,0,23.24001,35.29412,0,0,20.78431,10.58823
25.332,-23.03031,-44.54565,5,0.3190691,-0.2587138,1.163273,1055.25,4.39,21.17647,70.58823,4.643486,1.46096,32.15686,0,0,9.882353,0,0,29.21918,28.62745,0,0,25.4902,13.33333
25.336,-23.03031,-44.54565,5,0.5282904,-0.1593475,0.7161712,1055.25,4.39,21.17647,70.58823,4.643486,1.46096,32.15686,0,0,9.882353,0,0,29.21918,28.62745,0,0,25.4902,13.33333
