VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,8720;-0,3653;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7853;-73,9577;40,7834;-73,9590;-29,5238;0,0108;-0,0005;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2976;0,0602;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7667;-73,9690;40,7641;-73,9688;4,8671;-0,0089;-0,0085;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,8428;-0,3945;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7846;-73,9737;40,7827;-73,9750;-31,8868;0,0094;-0,0140;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,7522;-0,4851;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7745;-73,9656;40,7726;-73,9670;-39,2050;-0,0004;-0,0066;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4198;0,1824;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7762;-73,9578;40,7735;-73,9577;14,7443;0,0002;0,0029;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4478;0,2105;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7627;-73,9596;40,7601;-73,9587;17,0108;-0,0131;0,0018;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4162;0,1789;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7759;-73,9530;40,7731;-73,9521;14,4572;0,0001;0,0083;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,8859;-0,3514;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7745;-73,9656;40,7726;-73,9670;-28,4025;-0,0003;-0,0070;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;4,8988;3,6615;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7761;-73,9760;40,7699;-73,9747;295,9183;-0,0009;-0,0123;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3287;0,0914;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7801;-73,9574;40,7776;-73,9571;7,3875;0,0045;0,0030;2,0000
