VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,4641;-0,9890;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7782;-73,9747;40,7756;-73,9766;-28,6401;0,0030;-0,0146;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,6679;0,2148;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7726;-73,9556;40,7701;-73,9573;6,2204;-0,0032;0,0050;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,7275;0,2744;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7593;-73,9622;40,7559;-73,9632;7,9474;-0,0166;-0,0013;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,6802;0,2271;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7805;-73,9500;40,7778;-73,9518;6,5756;0,0047;0,0101;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,6941;0,2410;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7737;-73,9579;40,7710;-73,9595;6,9804;-0,0020;0,0028;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,0167;-0,4364;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7618;-73,9576;40,7595;-73,9597;-12,6381;-0,0136;0,0025;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,3530;-0,1002;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7634;-73,9711;40,7610;-73,9732;-2,9003;-0,0124;-0,0105;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,4326;0,9795;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7858;-73,9489;40,7832;-73,9506;28,3645;0,0099;0,0118;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,3438;0,8907;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7660;-73,9656;40,7635;-73,9672;25,7929;-0,0091;-0,0051;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,9613;0,5082;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7705;-73,9756;40,7663;-73,9776;14,7184;-0,0056;-0,0150;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,5042;0,0511;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7859;-73,9748;40,7836;-73,9753;1,4801;0,0108;-0,0137;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,8500;0,3969;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7810;-73,9587;40,7782;-73,9606;11,4953;0,0053;0,0022;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,4990;0,0459;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7808;-73,9545;40,7784;-73,9552;1,3281;0,0051;0,0068;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,2707;-1,1824;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7898;-73,9662;40,7873;-73,9681;-34,2431;0,0147;-0,0065;2,0000
