linha,worker_id,wallet,tx_hash,block,gas_used,meta_co2,diff,e1_value,latency_ms,tx_latency_ms,error
13,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xaba9284073c6edc0d14e4f23b0994792993e5f75730e68f5685bb53d9a587f7f,22800,32097,32318,16159,0.000888,29661.93,29160.43,
13,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x87131a4a4dd1c30317bd9e00e5d3b277e8eca01f591421404426971d5272f261,22800,32097,32318,16159,0.000888,29683.36,29160.57,
13,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x6e8e15989e457f5b76c375ba9b7c6f5ec776caf83571e18fc89387ad803ae157,22800,32097,32318,16159,0.000888,29648.24,29161.02,
14,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xdd8a208b42244f0930c8f2fedaa94d7d2cdc0c9de2117751557b28d8addffbb5,22801,32097,32318,16159,0.000888,29655.90,29168.86,
14,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x4ed9e625dfc55823f89278405027340a884a8cabef44c513b9bbed76db4a4ff6,22801,32097,32318,16159,0.000888,29650.38,29164.50,
14,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0xe2d506f8cfc90cca2c55d77a9f9947cb29da9723dca1301a31c75ff588801096,22801,32097,32318,16159,0.000888,29654.42,29162.69,
14,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x99a75f260ce623f668f606888d2b4a2b4cb68ddba8054f256dd8f4e068508a09,22801,32097,32318,16159,0.000888,30649.02,30169.62,
15,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0xa9c6ada30e710131a394748998e3dc0dcc15bc9cf6b84645df36954d3cd47582,22802,32097,32318,16159,0.000888,29635.32,29158.35,
15,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x4a3b77435796be123a0ee5217d7dfe44ff4d7e13963aa826148797b442004ef5,22802,32097,32318,16159,0.000888,30659.70,30160.53,
15,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x5e8dce1e365e49e011eb21f324452f8cb5d9fb6f4461a3d7dbe81db04f8c637f,22802,32097,32318,16159,0.000888,30661.56,30160.28,
15,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x00bd681109333457499a92858c81eaa6a40775f7f2224aed9a23008d4ec4ff8d,22802,32097,32318,16159,0.000888,30656.79,30163.46,
16,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x0883d03b81db44c884e96d9c81379c53473b0ed4bdd273ac019d01d2a786cc54,22803,32097,32318,16159,0.000888,29632.45,29159.69,
16,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xb05f18fcd72fda4a3b3e31d4a151959614a83e9960265e74d5d83b71ad9e8904,22803,32097,32318,16159,0.000888,29646.56,29160.88,
16,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x9ab4a759717354b7639ce20f073d31b57cbf43f213d5df6824cbf97e72a6af84,22803,32097,32318,16159,0.000888,29650.28,29160.97,
16,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x07eb2d9f20ce1716aece2cf5c4949d920e86253f8334bbdb915c9c95e7f9751a,22803,32097,32318,16159,0.000888,29644.19,29161.70,
17,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0xf1a5cede741ddbe7730dc4b3967e383dc6e0383ade2942cf90906b4fc1d764ab,22804,32097,35422,17711,0.000973,29646.21,29163.33,
17,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x9451152e62363423cc50683e065138fd72f478560a967d23a6d5fb6d5fc7adc1,22804,32097,35422,17711,0.000973,29642.49,29157.43,
17,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x1aa19c3243bb93f380f1905336f836cdb12156e3ddefa18b61af1f6c1b576470,22804,32097,35422,17711,0.000973,29650.07,29164.58,
17,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x2f15154011d7203fb1e7a433388d3bc06bbed28101f9a1440ef288f2ad79a7aa,22804,32097,35422,17711,0.000973,30628.64,30156.82,
18,2,0xf17f52151EbEF6C7334FAD080c5704D77216b732,0x902be2cc25e2c1af5c98dd38e7e612e0449ee910aa49938b38a450540afe61cc,22805,32097,43079,21539,0.001183,29629.93,29157.29,
18,3,0x17D90CC0C9cB61f27A5198c8a96f9eA19341b218,0x7b924feb5493859d6d60c33323c0dea055c66683024e1342dbd425c4fd1cb908,22805,32097,43079,21539,0.001183,30642.01,30160.86,
18,4,0x47242114086D2715A648d0391793730d2aB1CCa2,0x3f056951d3d97bd7ff61ed282bbaae5b1e852ef213e8f38bef0c6a60ab62d141,22805,32097,43079,21539,0.001183,30649.18,30161.18,
18,1,0x627306090abaB3A6e1400e9345bC60c78a8BEf57,0x5fcb1cc03543d50fcba2dddcc4829ed99ed9ba48549cd95f0c99724ceb428994,22805,32097,43079,21539,0.001183,30653.43,30164.53,
